7.1a,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/310101/$FILE/310101.xls,310101.xls,A2133251W
7.1b,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/310101/$FILE/310101.xls,310101.xls,A2133255F
7.1c,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/310101/$FILE/310101.xls,310101.xls,A2133256J
7.2a,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/310101/$FILE/310101.xls,310101.xls,A2133244X
7.2b,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/310101/$FILE/310101.xls,310101.xls,A2133245A
7.2c,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/310101/$FILE/310101.xls,310101.xls,A2133252X
7.2d,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/310101/$FILE/310101.xls,310101.xls,A2133254C
7.3a,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/340101/$FILE/340101.xls,340101.xls,A83808903F
7.3b,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/340101/$FILE/340101.xls,340101.xls,A83808877L
1.4a,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/6291014b/$FILE/6291014b.xls,6291014b.xls,A63375V
1.4b,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/6291014b/$FILE/6291014b.xls,6291014b.xls,A63376W
1.7a,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/6321055001table1/$FILE/6321055001table1.xls,6321055001table1.xls,A2540828A
1.7b,http://www.ausstats.abs.gov.au/ausstats/ABS@Archive.nsf/LatestTimeSeries/6321055001table2b/$FILE/6321055001table2b.xls,6321055001table2b.xls,A2540874R
3.1a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5206001_key_aggregates/$FILE/5206001_key_aggregates.xls,5206001_key_aggregates.xls,A2304418T
3.1b,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5206001_key_aggregates/$FILE/5206001_key_aggregates.xls,5206001_key_aggregates.xls,A2304402X
3.4c,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5206001_key_aggregates/$FILE/5206001_key_aggregates.xls,5206001_key_aggregates.xls,A2323382F
3.5a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5206001_key_aggregates/$FILE/5206001_key_aggregates.xls,5206001_key_aggregates.xls,A3606058X
4.4a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5206002_expenditure_volume_measures/$FILE/5206002_expenditure_volume_measures.xls,5206002_expenditure_volume_measures.xls,A2304095K
2.5a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5206020_selected_analytical_series/$FILE/5206020_selected_analytical_series.xls,5206020_selected_analytical_series.xls,A2302591K
3.2a,http://www.ausstats.abs.gov.au/ausstats/meisubs.nsf/LatestTimeSeries/5206020_selected_analytical_series/$FILE/5206020_selected_analytical_series.xls,5206020_selected_analytical_series,A2302590J
